File,Column,System / File Purpose,Likely Link Target / Use,Example Values,Confidence
ActiveSkill.shn,ID,active skill definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
ActiveSkill.shn,InxName,active skill definitions,"String key used by other SHN rows, scripts, or server code.",TripleHit01 | TripleHit02 | TripleHit03,High
ActiveSkill.shn,UseItem,active skill definitions,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
ActiveSkill.shn,ItemNumber,active skill definitions,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
ActiveSkill.shn,ItemOption,active skill definitions,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
ActiveSkill.shn,DemandItem1,active skill definitions,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
ActiveSkill.shn,DemandItem2,active skill definitions,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
ActiveSkill.shn,IsMovingSkill,active skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,1 | 1 | 1,High
ActiveSkill.shn,SkillDegree,active skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,360 | 360 | 360,High
ActiveSkill.shn,SkillTargetState,active skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,0 | 0 | 0,High
ActiveSkill.shn,DlyGroupNum,active skill definitions,Often groups multiple rows together under one table-specific group key.,10 | 10 | 10,Medium
ActiveSkill.shn,DlyTimeGroup,active skill definitions,Often groups multiple rows together under one table-specific group key.,6000 | 6000 | 6000,High
ActiveSkill.shn,SkillClassifierA,active skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,- | - | -,High
ActiveSkill.shn,SkillClassifierB,active skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,- | - | -,High
ActiveSkill.shn,SkillClassifierC,active skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,- | - | -,High
ActiveSkill.shn,HitID,active skill definitions,Numeric identifier used as a foreign key or lookup key.,20 | 20 | 20,Medium
ActiveSkillGroup.shn,InxName,active skill definitions,"String key used by other SHN rows, scripts, or server code.",SeverBone01 | SeverBone02 | SeverBone03,High
ActiveSkillGroup.shn,ActiveSkillGroupIndex,active skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data. Often groups multiple rows together under one table-specific group key.,71 | 71 | 71,High
ActiveSkillInfoServer.shn,ID,active skill definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
ActiveSkillInfoServer.shn,InxName,active skill definitions,"String key used by other SHN rows, scripts, or server code.",TripleHit01 | TripleHit02 | TripleHit03,High
ActiveSkillInfoServer.shn,SkillHitType,active skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,0 | 0 | 0,High
ActiveSkillInfoServer.shn,ItremUseSkill,active skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,0 | 0 | 0,High
AreaSkill.shn,AS_SkillInx,skill definitions and behavior,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,LightShot01 | Chimera_Skill_W03_2 | Eglack_Skill05_W,High
AttendReward.shn,AR_ID,Attend Reward data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,Medium
AttendReward.shn,AR_ItemInx,Attend Reward data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,Attend_Week_1 | Attend_Week_2 | Attend_Week_3,High
BRAccUpgrade.shn,ID,accessory upgrade/enhancement rules,Numeric identifier used as a foreign key or lookup key.,1 | 1 | 1,High
BRAccUpgradeInfo.shn,ID,accessory upgrade/enhancement rules,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
BRAccUpgradeInfo.shn,InxName,accessory upgrade/enhancement rules,"String key used by other SHN rows, scripts, or server code.",Grp1WC_MABijouBra | Grp2WC_MABijouBra | Grp3WC_MABijouBra,High
BelongTypeInfo.shn,NoDrop,Belong Type Info data/configuration,Links to drop/loot tables or drop group rows.,0 | 0 | 1,Medium
ChargedEffect.shn,ItemID,Charged Effect data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,PoveofBlass01 | PoveofBlass02 | PoveofBlass03,High
ChatColor.shn,ChatColorID,Chat Color data/configuration,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
ClassName.shn,ClassID,Class Name data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,Medium
CollectCard.shn,CC_CardID,collectable card system,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
CollectCard.shn,CC_ItemInx,collectable card system,Links to item tables such as ItemInfo / ItemInfoServer.,CC_Slime02 | CC_Honeying02 | CC_Mara02,High
CollectCard.shn,CC_CardMobGroup,collectable card system,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Often groups multiple rows together under one table-specific group key.,164 | 60 | 108,High
CollectCardDropRate.shn,CC_CardID,drop/loot configuration,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
CollectCardGroupDesc.shn,CC_CardMobGroup,collectable card system,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Often groups multiple rows together under one table-specific group key.,1 | 2 | 3,High
CollectCardGroupDesc.shn,CC_MobGroupName,collectable card system,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Often groups multiple rows together under one table-specific group key.,��ī | �ؼ�Ʈ ����� | ������,High
CollectCardMobGroup.shn,CC_MobInx,collectable card system,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,WaterAlca | Alka | WaterAlcaA,High
CollectCardMobGroup.shn,CC_CardMobGroup,collectable card system,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Often groups multiple rows together under one table-specific group key.,1 | 1 | 1,High
CollectCardReward.shn,CC_RewardID,collectable card system,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
CollectCardReward.shn,CC_RewardItemInx,collectable card system,Links to item tables such as ItemInfo / ItemInfoServer.,Neck_Collect01 | Ear_Collect01 | Ring_Collect01,High
CollectCardTitle.shn,CC_ItemInx,title/achievement data,Links to item tables such as ItemInfo / ItemInfoServer.,CC_Humar02 | CC_C_JewelGolem01 | CC_Helga01,High
ColorInfo.shn,eColorID,color/dye definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,Medium
DiceGame.shn,ItemID,Dice Game data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,51002 | 51003 | 51004,High
EnchantSocketRate.shn,ItemGradeType,Enchant Socket Rate data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 1 | 2,High
FaceInfo.shn,ID,Face Info data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
FieldLvCondition.shn,MapIndex,Field level Condition data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",UrgDragon | UrgDragon | Tower01,High
FriendPointReward.shn,InxName,Friend Point Reward data/configuration,"String key used by other SHN rows, scripts, or server code.",BestLowTHScroll | LowTHScroll | NorTHScroll,High
GBReward.shn,Item_INX,GBReward data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,M_GB_Slot01,High
GBSMAll.shn,GBSM_GroupID,GBSMAll data/configuration,Often groups multiple rows together under one table-specific group key. Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
GBSMCenter.shn,GBSM_GroupID,GBSMCenter data/configuration,Often groups multiple rows together under one table-specific group key. Numeric identifier used as a foreign key or lookup key.,9,Medium
GBSMGroup.shn,GBSM_GroupID,GBSMGroup data/configuration,Often groups multiple rows together under one table-specific group key. Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
GBSMLine.shn,GBSM_GroupID,GBSMLine data/configuration,Often groups multiple rows together under one table-specific group key. Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
GBSMNPC.shn,GBSM_MobInx,NPC definitions and behavior,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,GB_SlotMachine_01_01 | GB_SlotMachine_01_02 | GB_SlotMachine_01_03,High
GTIBreedSubject.shn,InxName,GTIBreed Subject data/configuration,"String key used by other SHN rows, scripts, or server code.",GTI_Breed01 | GTI_Breed02 | GTI_Breed03,High
GTIBreedSubject.shn,MobIndex,GTIBreed Subject data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,GTI_TotemSummon | GTI_TotemSummon | GTI_TotemSummon,High
GTIGetRate.shn,ID,GTIGet Rate data/configuration,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,High
GTIGetRateGap.shn,ID,GTIGet Rate Gap data/configuration,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,High
GTIServer.shn,ID,GTIServer data/configuration,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,High
GTIServer.shn,InxName,GTIServer data/configuration,"String key used by other SHN rows, scripts, or server code.",GTI_Bless | GTI_Speed | GTI_Protect,High
GTIServer.shn,Index,GTIServer data/configuration,Numeric identifier used as a foreign key or lookup key.,StaGTIRatePoint | StaGTISpeed | StaGTIResistAll,High
Gather.shn,GatherID,gathering node/resource rules,Numeric identifier used as a foreign key or lookup key.,29000 | 29001 | 29001,Medium
Gather.shn,Index,gathering node/resource rules,Numeric identifier used as a foreign key or lookup key.,Herbing | Mining | Mining,High
Gather.shn,EqipItemView,gathering node/resource rules,Links to item tables such as ItemInfo / ItemInfoServer.,Hoe | Pickaxe | Pickaxe,High
GradeItemOption.shn,ItemIndex,grade-based item options,Links to item tables such as ItemInfo / ItemInfoServer.,StrBronzeRing | ConBronzeRing | DexBronzeRing,High
GradeItemOption.shn,MAPlus,grade-based item options,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0 | 0 | 0,High
GroupAbState.shn,GroupAbStateIDX,buff/debuff/abnormal state definitions,Links to AbState buff/debuff definitions. Often groups multiple rows together under one table-specific group key.,Sample_01 | Sample_01 | Sample_01,High
GroupAbState.shn,AbstateIDX,buff/debuff/abnormal state definitions,Links to AbState buff/debuff definitions.,StaBattleBlowStun | StaNeglect | StaRestore,High
GuildTournamentLvGap.shn,MAP_TYPE,guild tournament rules/rewards/scoring,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0 | 0 | 0,High
GuildTournamentMasterBuff.shn,MAP_TYPE,guild tournament rules/rewards/scoring,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0,High
GuildTournamentOccupy.shn,MAP_TYPE,guild tournament rules/rewards/scoring,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0,High
GuildTournamentReward.shn,RewardGroup,guild tournament rules/rewards/scoring,Often groups multiple rows together under one table-specific group key.,1 | 2 | 3,Medium
GuildTournamentScore.shn,MAP_TYPE,guild tournament rules/rewards/scoring,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0 | 0 | 0,High
GuildTournamentSkill.shn,MAP_TYPE,skill definitions and behavior,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0 | 0 | 0,High
GuildTournamentSkill.shn,Index,skill definitions and behavior,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
HairColorInfo.shn,ID,hair color options,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
HairColorInfo.shn,IndexName,hair color options,"String key used by other SHN rows, scripts, or server code.",HairColor_01 | HairColor_02 | HairColor_03,Medium
HairInfo.shn,ID,hair style options,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
HairInfo.shn,IndexName,hair style options,"String key used by other SHN rows, scripts, or server code.",base_hair00 | base_hair01 | base_hair02,Medium
HolyPromiseReward.shn,ItemIndex,Holy Promise reward table,Links to item tables such as ItemInfo / ItemInfoServer.,StormLongSword01 | PhinoCoupleRing01 | Huntervoucher02_1,High
ItemAction.shn,ItemActionID,item-use actions and action routing,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,High
ItemAction.shn,ConditionID,item-use actions and action routing,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 54,Medium
ItemAction.shn,EffectID,item-use actions and action routing,Numeric identifier used as a foreign key or lookup key.,8 | 12 | 18,Medium
ItemAction.shn,CoolGroupActionID,item-use actions and action routing,Often groups multiple rows together under one table-specific group key. Numeric identifier used as a foreign key or lookup key.,0 | 0 | 0,Medium
ItemActionCondition.shn,ConditionID,conditions required before an item action can run,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
ItemActionEffect.shn,EffectID,effects produced by an item action,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
ItemDismantle.shn,ID,item dismantle/breakdown recipes,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
ItemDropLog.shn,ItemID,item drop logging rules,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,57140 | 57141 | 57142,High
ItemInfo.shn,ID,item definitions shown/used by the client and server,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
ItemInfo.shn,InxName,item definitions shown/used by the client and server,"String key used by other SHN rows, scripts, or server code.",LeatherBoots | LeatherHelmet | LeatherPants,High
ItemInfo.shn,ItemAuctionGroup,item definitions shown/used by the client and server,Links to item tables such as ItemInfo / ItemInfoServer. Often groups multiple rows together under one table-specific group key.,19 | 19 | 19,High
ItemInfo.shn,ItemGradeType,item definitions shown/used by the client and server,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
ItemInfo.shn,ItemUseSkill,item definitions shown/used by the client and server,Links to item tables such as ItemInfo / ItemInfoServer. Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,- | - | -,High
ItemInfo.shn,SetItemIndex,item definitions shown/used by the client and server,Links to item tables such as ItemInfo / ItemInfoServer.,- | - | -,High
ItemInfo.shn,ItemFunc,item definitions shown/used by the client and server,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
ItemInfoServer.shn,ID,server-side item definitions and item behavior,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
ItemInfoServer.shn,InxName,server-side item definitions and item behavior,"String key used by other SHN rows, scripts, or server code.",LeatherBoots | LeatherHelmet | LeatherPants,High
ItemInfoServer.shn,DropGroupA,server-side item definitions and item behavior,Links to drop/loot tables or drop group rows. Often groups multiple rows together under one table-specific group key.,Shoes1 | Hat1 | Leg1,Medium
ItemInfoServer.shn,DropGroupB,server-side item definitions and item behavior,Links to drop/loot tables or drop group rows. Often groups multiple rows together under one table-specific group key.,- | - | -,Medium
ItemInfoServer.shn,RandomOptionDropGroup,server-side item definitions and item behavior,Links to drop/loot tables or drop group rows. Often groups multiple rows together under one table-specific group key.,- | - | -,Medium
ItemInfoServer.shn,DropRateKilledByMob,server-side item definitions and item behavior,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Links to drop/loot tables or drop group rows.,0 | 0 | 0,High
ItemInfoServer.shn,DropRateKilledByPlayer,server-side item definitions and item behavior,Links to drop/loot tables or drop group rows.,0 | 0 | 0,High
ItemInfoServer.shn,ItemSort_Index,server-side item definitions and item behavior,Links to item tables such as ItemInfo / ItemInfoServer.,IS_SHOES | IS_HAT | IS_LEG,High
ItemInfoServer.shn,KQItem,server-side item definitions and item behavior,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
ItemInfoServer.shn,KQ_Item_Drop,server-side item definitions and item behavior,Links to item tables such as ItemInfo / ItemInfoServer. Links to drop/loot tables or drop group rows.,0 | 0 | 0,High
ItemInvenDel.shn,InxName,Item Inven Del data/configuration,"String key used by other SHN rows, scripts, or server code.",BallSnow01 | BallCrush01 | E_BallHive02,High
ItemMerchantInfo.shn,Map,merchant/shop item listings,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",<UNSUPPORTED_TYPE_10> | <UNSUPPORTED_TYPE_10> | <UNSUPPORTED_TYPE_10>,High
ItemMix.shn,Raw_ItemIDX,item mixing/crafting recipes,Links to item tables such as ItemInfo / ItemInfoServer.,Arena_F70Sword | Arena_F70TSword | Arena_F70Axe,High
ItemMix.shn,Mix_ItemIDX,item mixing/crafting recipes,Links to item tables such as ItemInfo / ItemInfoServer.,F70Sword_LD | F70TSword_LD | F70Axe_LD,High
ItemMoney.shn,IM_ItemIDX,item money/value tables,Links to item tables such as ItemInfo / ItemInfoServer.,MiniJack01_2 | Halloween02_1 | Cos_Halloween_2010_01_1,High
ItemPackage.shn,ItemID,item package/bundle contents,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,SkillReloadbundle10 | SkillReloadbundle30 | SkillReloadbundle50,High
ItemShop.shn,InxName,Item Shop data/configuration,"String key used by other SHN rows, scripts, or server code.",AddInventory03_2 | HPIncrease1 | SPIncrease1,High
ItemSort.shn,ItemSort_Index,Item Sort data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,IS_MYSTERYVAULT | IS_EVENT | IS_KQ,High
ItemUpgrade.shn,ID,Item Upgrade data/configuration,Numeric identifier used as a foreign key or lookup key.,1 | 1 | 1,High
ItemUseEffect.shn,ItemIndex,Item Use Effect data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,BestLowHpPotion | LowHpPotion | NorHpPotion,High
ItemUseEffect.shn,UseAbstateName,Item Use Effect data/configuration,Links to AbState buff/debuff definitions.,- | - | -,High
ItemUseEffect.shn,UseAbstateIndex,Item Use Effect data/configuration,Links to AbState buff/debuff definitions.,0 | 0 | 0,High
KQIsVote.shn,ID,KQIs Vote data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
KQItem.shn,ItemIndex,KQItem data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,KQ_InvincibleHammer | KQ_Ice01,High
KQTeam.shn,ID,KQTeam data/configuration,Numeric identifier used as a foreign key or lookup key.,26 | 28 | 29,High
KingdomQuest.shn,ID,quest data and quest relationships,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
KingdomQuest.shn,DemandQuest,quest data and quest relationships,Links to quest tables; QuestData.shn was skipped by request.,0 | 0 | 0,High
KingdomQuest.shn,DemandItem,quest data and quest relationships,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
KingdomQuest.shn,DemandMobKill,quest data and quest relationships,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,5 | 5 | 5,High
KingdomQuest.shn,MapLink,quest data and quest relationships,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0 | 1 | 2,High
KingdomQuestMap.shn,NumOfMap,quest data and quest relationships,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",10 | 10 | 10,High
KingdomQuestMap.shn,BaseMap,quest data and quest relationships,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",KDEddyHill | KDPrtShip | KDUnHall,High
KingdomQuestMap.shn,Map,quest data and quest relationships,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",KDEddyHill00 | KDPrtShip00 | KDUnHall00,High
KingdomQuestRew.shn,ID,quest data and quest relationships,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
KingdomQuestRew.shn,KQBoxItemIDX,quest data and quest relationships,Links to item tables such as ItemInfo / ItemInfoServer.,KQBox_KingSlime | KQBox_RagePirates | KQBox_UnderHall,High
LCGroupRate.shn,Item_ID,LCGroup Rate data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,58061 | 58061 | 58061,High
LCGroupRate.shn,LCR_Group,LCGroup Rate data/configuration,Often groups multiple rows together under one table-specific group key.,1 | 2 | 3,Medium
LCReward.shn,LCR_Group,Lucky Capsule reward table,Often groups multiple rows together under one table-specific group key.,1 | 1 | 1,Medium
LCReward.shn,Item_Inx,Lucky Capsule reward table,Links to item tables such as ItemInfo / ItemInfoServer.,El1 | Lix1 | Xir1,High
MapBuff.shn,MapName,buffs applied by map/zone,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",Tower01 | WarBL | WarL,High
MapBuff.shn,AbStateIDX,buffs applied by map/zone,Links to AbState buff/debuff definitions.,StaIDBuff_100 | StaIDBuff_80 | StaIDBuff_60,High
MapInfo.shn,ID,map definitions and map metadata,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
MapInfo.shn,MapName,map definitions and map metadata,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",Rou | RouCos01 | RouCos02,High
MapInfo.shn,KingdomMap,map definitions and map metadata,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0 | 0 | 0,High
MapInfo.shn,MapFolderName,map definitions and map metadata,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",Rou | RouCos01 | RouCos02,High
MapLinkPoint.shn,MLP_FromID,map portal/link points between zones/maps,Numeric identifier used as a foreign key or lookup key.,29 | 7 | 8,Medium
MapLinkPoint.shn,MLP_ToID,map portal/link points between zones/maps,Numeric identifier used as a foreign key or lookup key.,7 | 8 | 9,Medium
MapWayPoint.shn,MapID,map pathing/waypoint coordinates,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint. Numeric identifier used as a foreign key or lookup key.",120 | 120 | 120,High
MiniHouse.shn,ItemID,estate/minihouse/furniture system,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,House_MushRoom | PyramidHouse01_1 | PyramidHouse01_2,High
MiniHouseDummy.shn,Index,estate/minihouse placement dummy points,Numeric identifier used as a foreign key or lookup key.,Hdummy_Balloon,High
MiniHouseFurniture.shn,ItemID,estate/minihouse/furniture system,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,IN_Normallighting01 | IN_NormalChair02 | IN_NormalTable01,High
MiniHouseFurniture.shn,MHEmotionID,estate/minihouse/furniture system,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 0,Medium
MiniHouseFurnitureObjEffect.shn,ItemID,estate/minihouse/furniture system,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,IN_ValDn01 | IN_CemDn01 | IN_GblDn01,High
MiniHouseFurnitureObjEffect.shn,NeedItem,estate/minihouse/furniture system,Links to item tables such as ItemInfo / ItemInfoServer.,- | - | -,High
MiniHouseObjAni.shn,ItemID,estate/minihouse/furniture system,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,50008 | 50008 | 50008,High
MiniHouseObjAni.shn,AniGroupIDMaxNum,estate/minihouse/furniture system,Often groups multiple rows together under one table-specific group key.,1 | 1 | 1,Medium
MiniHouseObjAni.shn,AniGroupID,estate/minihouse/furniture system,Often groups multiple rows together under one table-specific group key. Numeric identifier used as a foreign key or lookup key.,10000 | 10001 | 50000,Medium
MinimonAutoUseItem.shn,MAUItem,Minimon Auto Use Item data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,1 | 1 | 1,High
MinimonAutoUseItem.shn,ItemIDX,Minimon Auto Use Item data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,ACRedDragon02 | ACRedDragon02_1 | ACRedDragon02_2,High
MinimonInfo.shn,ItemIDX,minimon/pet information,Links to item tables such as ItemInfo / ItemInfoServer.,KQ_H_MiniDragon | M_SnowSlime01 | MiniSlime,High
MobAbStateDropSetting.shn,MobInx,monster buff/debuff drop-state settings,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,WereBear | WereBear | WereBear,High
MobAbStateDropSetting.shn,ABStateInx,monster buff/debuff drop-state settings,Links to AbState buff/debuff definitions.,StaPuryImpactStun | StaBoneArrow | StaDeeper,High
MobAbStateDropSetting.shn,DropType,monster buff/debuff drop-state settings,Links to drop/loot tables or drop group rows.,0 | 0 | 0,Medium
MobAutoAction.shn,MobInx,action/combat/interaction data,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,B_CrackerGuardian | B_CrackerLooter | BH_Guardian,High
MobConditionServer.shn,MobInx,monster Condition Server data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,WarL_Pore | WarL_Pore | WarL_BrainWash,High
MobInfo.shn,ID,monster definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
MobInfo.shn,InxName,monster definitions,"String key used by other SHN rows, scripts, or server code.",Slime | MushRoom | Imp,High
MobInfo.shn,IsNPC,monster definitions,Links to NPC tables or NPC script/action data.,0 | 0 | 0,High
MobInfoServer.shn,ID,server-side monster stats and behavior,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
MobInfoServer.shn,InxName,server-side monster stats and behavior,"String key used by other SHN rows, scripts, or server code.",Slime | MushRoom | Imp,High
MobInfoServer.shn,MobKillInx,server-side monster stats and behavior,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,0 | 0 | 0,High
MobInfoServer.shn,MobRaceType,server-side monster stats and behavior,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,0 | 0 | 0,High
MobKillAble.shn,MobKillInx,monster kill rules/logging/requirements,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,0 | 1 | 2,High
MobKillAble.shn,Mob,monster kill rules/logging/requirements,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,1 | 0 | 1,High
MobKillAnnounce.shn,MobID,monster kill rules/logging/requirements,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Numeric identifier used as a foreign key or lookup key.,7000 | 8140 | 9069,High
