File,System / File Purpose,Format,Table/Schema,Column #,Column,Type,Length,Rows/Records,Example Values,Plain English Meaning,Server Link / Use Hint,Confidence,Notes
AbState.shn,buff/debuff/abnormal state definitions,SHN,,12,PartyRange,DWORD,4,777,0 | 0 | 0,Party Range value for buff/debuff/abnormal state definitions. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,13,PartyEnchantNumber,DWORD,4,777,0 | 0 | 0,Party Enchant Number value for buff/debuff/abnormal state definitions. Confirm exact formula/branch in server code before treating it as final.,Use as a tunable gameplay/config value for buff/debuff/abnormal state definitions; preserve type and verify scale during runtime tests.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,14,SubAbState,STRING,32,777,SubStaSeverBone | SubStaRedSlash | SubStaBattleBlowStun,Text/key/resource string used by this buff/debuff/abnormal state definitions table.,Use as a lookup/link field when wiring buff/debuff/abnormal state definitions into server tables/services. Links to AbState buff/debuff definitions.,High,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,15,DispelIndex,DWORD_11,4,777,2 | 4 | 6,Coordinate/position value used by this buff/debuff/abnormal state definitions table.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,16,SubDispelIndex,DWORD_11,4,777,10 | 4 | 1,Coordinate/position value used by this buff/debuff/abnormal state definitions table.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,17,AbStateSaveType,DWORD_11,4,777,1 | 1 | 1,Category/type selector for this buff/debuff/abnormal state definitions row. The server uses it to choose which behavior branch applies.,Use as a lookup/link field when wiring buff/debuff/abnormal state definitions into server tables/services. Links to AbState buff/debuff definitions.,High,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,18,MainStateInx,STRING,32,777,- | - | -,Coordinate/position value used by this buff/debuff/abnormal state definitions table.,Use as a lookup/link field when wiring buff/debuff/abnormal state definitions into server tables/services.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,19,Duplicate,BYTE,1,777,0 | 0 | 0,Duplicate value for buff/debuff/abnormal state definitions. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbStateSaveTypeInfo.shn,buff/debuff persistence/save behavior,SHN,,1,AbStateSaveType,DWORD_11,4,4,0 | 1 | 2,Category/type selector for this buff/debuff persistence/save behavior row. The server uses it to choose which behavior branch applies.,Use as a lookup/link field when wiring buff/debuff persistence/save behavior into server tables/services. Links to AbState buff/debuff definitions.,High,
AbStateSaveTypeInfo.shn,buff/debuff persistence/save behavior,SHN,,2,IsSaveLink,BYTE,1,4,0 | 1 | 1,On/off flag or behavior switch for this buff/debuff persistence/save behavior table.,Use when implementing/loading buff/debuff persistence/save behavior; exact server branch depends on the file's system.,Medium,
AbStateSaveTypeInfo.shn,buff/debuff persistence/save behavior,SHN,,3,IsSaveDie,BYTE,1,4,0 | 0 | 1,On/off flag or behavior switch for this buff/debuff persistence/save behavior table.,Use when implementing/loading buff/debuff persistence/save behavior; exact server branch depends on the file's system.,Medium,
AbStateSaveTypeInfo.shn,buff/debuff persistence/save behavior,SHN,,4,IsSaveLogoff,BYTE,1,4,0 | 1 | 1,On/off flag or behavior switch for this buff/debuff persistence/save behavior table.,Use when implementing/loading buff/debuff persistence/save behavior; exact server branch depends on the file's system.,Medium,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,1,ID,WORD,2,3540,580 | 580 | 580,Unique numeric row ID for this accessory upgrade/enhancement rules table. The server uses it to look up or link this row.,Use as a lookup/link field when wiring accessory upgrade/enhancement rules into server tables/services. Numeric identifier used as a foreign key or lookup key.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,2,InxName,STRING,32,3540,Acc1UP5 | Acc1UP5 | Acc1UP5,Internal string name/key for this accessory upgrade/enhancement rules row. Usually the safest human-readable key for linking scripts/server logic.,"Use as a lookup/link field when wiring accessory upgrade/enhancement rules into server tables/services. String key used by other SHN rows, scripts, or server code.",High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,3,UpFactor,DWORD_11,4,3540,0 | 0 | 1,Up Factor value for accessory upgrade/enhancement rules. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading accessory upgrade/enhancement rules; exact server branch depends on the file's system.,Medium,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,4,Success,WORD,2,3540,1 | 0 | 1,Success value for accessory upgrade/enhancement rules. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading accessory upgrade/enhancement rules; exact server branch depends on the file's system.,Medium,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,5,Min1,WORD,2,3540,1 | 1 | 1,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 1.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,6,Max1,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 1.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,7,Limit1,WORD,2,3540,2 | 0 | 2,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 1.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,8,Min2,WORD,2,3540,1 | 1 | 1,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 2.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,9,Max2,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 2.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,10,Limit2,WORD,2,3540,3 | 2 | 3,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 2.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,11,Min3,WORD,2,3540,0 | 1 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 3.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,12,Max3,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 3.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,13,Limit3,WORD,2,3540,4 | 3 | 4,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 3.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,14,Min4,WORD,2,3540,0 | 0 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 4.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,15,Max4,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 4.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,16,Limit4,WORD,2,3540,5 | 4 | 5,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 4.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,17,Min5,WORD,2,3540,0 | 0 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 5.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,18,Max5,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 5.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,19,Limit5,WORD,2,3540,6 | 5 | 6,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 5.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,20,Min6,WORD,2,3540,0 | 0 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 6.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,21,Max6,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 6.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,22,Limit6,WORD,2,3540,7 | 6 | 7,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 6.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,23,Min7,WORD,2,3540,0 | 0 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 7.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,24,Max7,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 7.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,25,Limit7,WORD,2,3540,8 | 7 | 8,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 7.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,26,Min8,WORD,2,3540,0 | 0 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 8.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,27,Max8,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 8.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,28,Limit8,WORD,2,3540,9 | 8 | 9,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 8.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,29,Min9,WORD,2,3540,0 | 0 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 9.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,30,Max9,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 9.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,31,Limit9,WORD,2,3540,10 | 9 | 10,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 9.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,32,Min10,WORD,2,3540,0 | 0 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 10.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,33,Max10,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 10.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,34,Limit10,WORD,2,3540,11 | 10 | 11,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 10.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,35,Min11,WORD,2,3540,0 | 0 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 11.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,36,Max11,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 11.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,37,Limit11,WORD,2,3540,12 | 11 | 12,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 11.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,38,Min12,WORD,2,3540,0 | 0 | 0,"For accessory upgrade/enhancement rules, this is the minimum value for slot/stage 12.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,39,Max12,WORD,2,3540,1 | 2 | 1,"For accessory upgrade/enhancement rules, this is the maximum value for slot/stage 12.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,SHN,,40,Limit12,WORD,2,3540,13 | 12 | 13,"For accessory upgrade/enhancement rules, this is the cap/limit for slot/stage 12.",Use as a tunable gameplay/config value for accessory upgrade/enhancement rules; preserve type and verify scale during runtime tests.,High,
AccUpgrade.shn,accessory upgrade/enhancement rules,SHN,,1,ID,DWORD,4,60,1 | 1 | 1,Unique numeric row ID for this accessory upgrade/enhancement rules table. The server uses it to look up or link this row.,Use as a lookup/link field when wiring accessory upgrade/enhancement rules into server tables/services. Numeric identifier used as a foreign key or lookup key.,High,
AccUpgrade.shn,accessory upgrade/enhancement rules,SHN,,2,CriFail,WORD,2,60,0 | 0 | 0,Character/combat/stat value used by this accessory upgrade/enhancement rules table.,Use when implementing/loading accessory upgrade/enhancement rules; exact server branch depends on the file's system.,Medium,
AccUpgrade.shn,accessory upgrade/enhancement rules,SHN,,3,DownFail,WORD,2,60,0 | 159 | 259,Down Fail value for accessory upgrade/enhancement rules. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading accessory upgrade/enhancement rules; exact server branch depends on the file's system.,Medium,
AccUpgrade.shn,accessory upgrade/enhancement rules,SHN,,4,NormalFail,WORD,2,60,459 | 350 | 300,Normal Fail value for accessory upgrade/enhancement rules. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading accessory upgrade/enhancement rules; exact server branch depends on the file's system.,Medium,
AccUpgrade.shn,accessory upgrade/enhancement rules,SHN,,5,nCon,WORD,2,60,15 | 14 | 13,n Con value for accessory upgrade/enhancement rules. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading accessory upgrade/enhancement rules; exact server branch depends on the file's system.,Medium,
AccUpgrade.shn,accessory upgrade/enhancement rules,SHN,,6,LuckySuc,WORD,2,60,300 | 160 | 135,Lucky Suc value for accessory upgrade/enhancement rules. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading accessory upgrade/enhancement rules; exact server branch depends on the file's system.,Medium,
ActionEffectAbState.shn,buff/debuff/abnormal state definitions,SHN,,1,InxName,STRING,32,0,,Internal string name/key for this buff/debuff/abnormal state definitions row. Usually the safest human-readable key for linking scripts/server logic.,"Use as a lookup/link field when wiring buff/debuff/abnormal state definitions into server tables/services. String key used by other SHN rows, scripts, or server code.",High,
ActionEffectAbState.shn,buff/debuff/abnormal state definitions,SHN,,2,Strength,DWORD,4,0,,Character/combat/stat value used by this buff/debuff/abnormal state definitions table.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
ActionEffectAbState.shn,buff/debuff/abnormal state definitions,SHN,,3,ItemActionID,WORD,2,0,,Item reference or item-related value used by this buff/debuff/abnormal state definitions table.,Use as a lookup/link field when wiring buff/debuff/abnormal state definitions into server tables/services. Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,High,
ActionEffectItem.shn,action effects that give/use/change items,SHN,,1,SHINE_ITEM_ID,WORD,2,372,61000 | 61001 | 61002,Item reference or item-related value used by this action effects that give/use/change items table.,Use as a lookup/link field when wiring action effects that give/use/change items into server tables/services. Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,High,
ActionEffectItem.shn,action effects that give/use/change items,SHN,,2,ItemActionID,WORD,2,372,244 | 245 | 246,Item reference or item-related value used by this action effects that give/use/change items table.,Use as a lookup/link field when wiring action effects that give/use/change items into server tables/services. Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,High,
ActionEffectItem.shn,action effects that give/use/change items,SHN,,3,EnchantMaxLot,BYTE,1,372,0 | 0 | 0,Enchant maximum Lot value for action effects that give/use/change items. Confirm exact formula/branch in server code before treating it as final.,Use as a tunable gameplay/config value for action effects that give/use/change items; preserve type and verify scale during runtime tests.,Medium,
ActionRangeFactor.shn,range/area scaling for actions,SHN,,1,ActionRangeIndex,DWORD_11,4,8,0 | 1 | 2,Coordinate/position value used by this range/area scaling for actions table.,Use when implementing/loading range/area scaling for actions; exact server branch depends on the file's system.,Medium,
ActionRangeFactor.shn,range/area scaling for actions,SHN,,2,RangeType,DWORD_11,4,8,0 | 4 | 3,Category/type selector for this range/area scaling for actions row. The server uses it to choose which behavior branch applies.,Use when implementing/loading range/area scaling for actions; exact server branch depends on the file's system.,Medium,
ActionRangeFactor.shn,range/area scaling for actions,SHN,,3,RangeStart,WORD,2,8,0 | 0 | 0,Range Start value for range/area scaling for actions. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading range/area scaling for actions; exact server branch depends on the file's system.,Medium,
ActionRangeFactor.shn,range/area scaling for actions,SHN,,4,RangeEnd,WORD,2,8,200 | 40 | 1000,Character/combat/stat value used by this range/area scaling for actions table.,Use when implementing/loading range/area scaling for actions; exact server branch depends on the file's system.,Medium,
ActionViewInfo.shn,visual/display data for actions,SHN,,1,nIndex,BYTE,1,105,0 | 1 | 2,Coordinate/position value used by this visual/display data for actions table.,Use when implementing/loading visual/display data for actions; exact server branch depends on the file's system.,Medium,
ActionViewInfo.shn,visual/display data for actions,SHN,,2,InxName,STRING,32,105,attack | looting | trade,Internal string name/key for this visual/display data for actions row. Usually the safest human-readable key for linking scripts/server logic.,"Use as a lookup/link field when wiring visual/display data for actions into server tables/services. String key used by other SHN rows, scripts, or server code.",High,
ActionViewInfo.shn,visual/display data for actions,SHN,,3,ActionName,STRING,32,105,Auto-Attack | Item Pick-up | Trade,"Name/label used by this visual/display data for actions table. It may be display text, a resource key, or an internal label depending on the file.",Use when implementing/loading visual/display data for actions; exact server branch depends on the file's system.,Medium,
ActionViewInfo.shn,visual/display data for actions,SHN,,4,LinkActionIndex,WORD,2,105,65535 | 65535 | 65535,Coordinate/position value used by this visual/display data for actions table.,Use when implementing/loading visual/display data for actions; exact server branch depends on the file's system.,Medium,
ActionViewInfo.shn,visual/display data for actions,SHN,,5,IconFileName,STRING,32,105,action000 | action000 | action000,"Name/label used by this visual/display data for actions table. It may be display text, a resource key, or an internal label depending on the file.","Client-facing resource pointer for visual/display data for actions; server may only need to pass/validate it, not calculate with it.",Medium,
ActionViewInfo.shn,visual/display data for actions,SHN,,6,nIconNum,WORD,2,105,0 | 1 | 2,n Icon Num value for visual/display data for actions. Confirm exact formula/branch in server code before treating it as final.,Use as a tunable gameplay/config value for visual/display data for actions; preserve type and verify scale during runtime tests.,Medium,
ActionViewInfo.shn,visual/display data for actions,SHN,,7,eActionType,DWORD_11,4,105,0 | 0 | 0,Category/type selector for this visual/display data for actions row. The server uses it to choose which behavior branch applies.,Use when implementing/loading visual/display data for actions; exact server branch depends on the file's system.,Medium,
ActionViewInfo.shn,visual/display data for actions,SHN,,8,nEventCode,DWORD,4,105,0 | 0 | 0,n Event Code value for visual/display data for actions. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading visual/display data for actions; exact server branch depends on the file's system.,Medium,
ActionViewInfo.shn,visual/display data for actions,SHN,,9,nAfterCode,DWORD,4,105,0 | 0 | 0,n After Code value for visual/display data for actions. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading visual/display data for actions; exact server branch depends on the file's system.,Medium,
ActionViewInfo.shn,visual/display data for actions,SHN,,10,IsDance,BYTE,1,105,0 | 0 | 0,On/off flag or behavior switch for this visual/display data for actions table.,Use when implementing/loading visual/display data for actions; exact server branch depends on the file's system.,Medium,
ActiveSkill.shn,active skill definitions,SHN,,1,ID,WORD,2,2791,0 | 1 | 2,Unique numeric row ID for this active skill definitions table. The server uses it to look up or link this row.,Use as a lookup/link field when wiring active skill definitions into server tables/services. Numeric identifier used as a foreign key or lookup key.,High,
ActiveSkill.shn,active skill definitions,SHN,,2,InxName,STRING,32,2791,TripleHit01 | TripleHit02 | TripleHit03,Internal string name/key for this active skill definitions row. Usually the safest human-readable key for linking scripts/server logic.,"Use as a lookup/link field when wiring active skill definitions into server tables/services. String key used by other SHN rows, scripts, or server code.",High,
ActiveSkill.shn,active skill definitions,SHN,,3,Name,STRING,64,2791,Slice and Dice [01] | Slice and Dice [02] | Slice and Dice [03],"Name/label used by this active skill definitions table. It may be display text, a resource key, or an internal label depending on the file.",Use when implementing/loading active skill definitions; exact server branch depends on the file's system.,Medium,
ActiveSkill.shn,active skill definitions,SHN,,4,Grade,DWORD,4,2791,1 | 1 | 1,Grade value for active skill definitions. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading active skill definitions; exact server branch depends on the file's system.,Medium,
ActiveSkill.shn,active skill definitions,SHN,,5,Step,DWORD,4,2791,1 | 2 | 3,Step value for active skill definitions. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading active skill definitions; exact server branch depends on the file's system.,Medium,
ActiveSkill.shn,active skill definitions,SHN,,6,MaxStep,DWORD,4,2791,20 | 20 | 20,maximum Step value for active skill definitions. Confirm exact formula/branch in server code before treating it as final.,Use as a tunable gameplay/config value for active skill definitions; preserve type and verify scale during runtime tests.,Medium,
ActiveSkill.shn,active skill definitions,SHN,,7,DemandType,DWORD_11,4,2791,0 | 0 | 0,Category/type selector for this active skill definitions row. The server uses it to choose which behavior branch applies.,Use when implementing/loading active skill definitions; exact server branch depends on the file's system.,Medium,
ActiveSkill.shn,active skill definitions,SHN,,8,DemandSk,STRING,32,2791,- | TripleHit01 | TripleHit02,Text/key/resource string used by this active skill definitions table.,Use when implementing/loading active skill definitions; exact server branch depends on the file's system.,Medium,
ActiveSkill.shn,active skill definitions,SHN,,9,UseItem,WORD,2,2791,0 | 0 | 0,Item reference or item-related value used by this active skill definitions table.,Use as a lookup/link field when wiring active skill definitions into server tables/services. Links to item tables such as ItemInfo / ItemInfoServer.,High,
